Area,mnemonic,2016,Conf %,2017,Conf %,2018,Conf %,2019,Conf %,2020,Conf %,2021,Conf %,2022,Conf %
ladu:Charnwood,E07000130,22951,13,23024,6.5,23948,9.4,25495,9.7,25955,7.3,24283,6.6,28227,6.9
ladu:Harborough,E07000131,27604,9.8,27267,12,26362,11,-,-,29800,15,28776,10,27985,12
ladu:Hinckley and Bosworth,E07000132,22071,12,22383,6.7,22849,11,23554,-,25888,6.7,26220,8.6,27537,8.2
ladu:Melton,E07000133,18843,13,22241,13,-,-,21519,14,20552,18,19023,14,22569,-
ladu:North West Leicestershire,E07000134,21831,9.4,21486,11,22452,14,24159,9.1,24725,9.7,25603,13,28733,11
ladu:Oadby and Wigston,E07000135,17886,14,20931,-,-,-,23715,12,26533,17,22304,11,25683,13
ladu:Boston,E07000136,18232,8.5,19037,6.4,19315,6.5,19529,7.5,20221,9.8,22681,6.1,23676,-
ladu:East Lindsey,E07000137,20654,9.6,21130,8,20989,9.1,21054,11,21134,9.5,20159,9,23900,7.8
ladu:Lincoln,E07000138,19248,8.8,18585,11,-,-,21206,9,22578,9.6,21513,16,27419,8.9
ladu:North Kesteven,E07000139,-,-,22916,8.7,-,-,23982,9.5,25981,8.3,27034,8.3,26310,7.1
ladu:South Holland,E07000140,22195,11,21645,7.7,22446,11,23844,7.7,24858,11,24899,8.3,25986,8.7
ladu:South Kesteven,E07000141,19599,17,21422,9.3,21032,15,22470,11,22845,6.4,24341,12,25848,9.1
ladu:West Lindsey,E07000142,20628,11,23453,9,25097,8.3,24455,-,26205,9.2,26954,8.5,28101,12
ladu:Ashfield,E07000170,20221,6.6,21262,6.9,22467,7,22714,7.2,22741,6.8,23466,6.8,25813,19
ladu:Bassetlaw,E07000171,21540,8.5,22322,11,21537,15,22192,8,22908,7.9,-,-,24515,16
ladu:Broxtowe,E07000172,25839,8.1,25654,7.2,25865,7.4,25272,8.2,26527,14,26023,9.7,28259,6.3
ladu:Gedling,E07000173,22023,8.8,23371,8.2,23731,7.6,22608,9.1,23150,9.7,23215,9.4,24699,9.1
ladu:Mansfield,E07000174,17749,8,18523,6.9,-,-,19610,6.9,22254,7.5,21802,7.2,24588,7.1
ladu:Newark and Sherwood,E07000175,19946,7.3,19014,16,21073,14,22538,7.6,23231,11,23752,8.8,25031,10
ladu:Rushcliffe,E07000176,27975,16,27503,10,27070,10,28970,8.7,28306,16,28780,16,29621,11
ladu:North Northamptonshire,E06000061,-,-,-,-,-,-,-,-,25818,6.6,26083,5.8,27764,4.6
ladu:West Northamptonshire,E06000062,-,-,-,-,-,-,-,-,26301,6.6,26644,5.4,28755,5
"ladu:Herefordshire, County of",E06000019,19346,7.3,19582,8.1,20003,7.1,21677,7.9,22632,7.8,22094,14,23659,12
ladu:Shropshire,E06000051,21363,8,22461,6.4,22534,7.1,23707,6,23045,6.4,23750,7.7,26221,8.2
ladu:Stoke-on-Trent,E06000021,20020,5.6,21000,4.3,22027,6,22169,8.2,23499,6.9,22769,5.2,24439,13
ladu:Telford and Wrekin,E06000020,20884,6.4,20687,4.6,20919,5.3,22531,8.4,23520,5.8,23355,5.6,26337,6.7
ladu:Cannock Chase,E07000192,22829,6.7,23890,9.2,23860,7.1,23414,12,23872,11,25917,7.5,24736,10
ladu:East Staffordshire,E07000193,19795,19,21311,7,21429,8.1,-,-,25866,7.2,23778,6.8,26521,7.9
ladu:Lichfield,E07000194,-,-,25771,12,26039,17,27961,19,29670,12,28709,8.8,30556,9.8
ladu:Newcastle-under-Lyme,E07000195,21474,6.7,20984,6.9,22656,6.7,21962,7,23998,7.7,24284,7.5,25167,8
ladu:South Staffordshire,E07000196,24025,8.7,25063,13,25913,11,26210,8.2,29869,10,27787,9,28260,11
ladu:Stafford,E07000197,22521,11,22700,9.4,24168,12,26696,8.5,26035,16,26249,12,29730,8.4
ladu:Staffordshire Moorlands,E07000198,21738,8.4,21833,10,22139,12,24709,9.2,25443,-,25906,10,27177,11
ladu:Tamworth,E07000199,21882,8.4,22561,6.6,22545,12,24472,7.8,23619,7.3,24125,14,26902,10
ladu:North Warwickshire,E07000218,25003,9.2,26289,12,25654,11,26349,14,26918,12,27246,9.8,30998,12
ladu:Nuneaton and Bedworth,E07000219,21888,13,23224,8.6,22725,9.4,22225,9.5,23790,8.7,25029,6.3,26045,16
ladu:Rugby,E07000220,26106,6.9,27324,8.4,28086,20,25659,13,28278,8.5,28805,13,31514,8.1
ladu:Stratford-on-Avon,E07000221,24144,9.1,25441,14,26453,11,25773,13,28081,15,27007,14,31528,9.6
ladu:Warwick,E07000222,27820,6.8,28202,12,27725,16,27983,8.1,30454,12,30002,8.5,29940,9.3
ladu:Birmingham,E08000025,21697,3.6,21924,3.9,22151,3.7,22584,4.7,23876,4.7,24282,4.3,25495,6.2
ladu:Coventry,E08000026,22116,7.7,23021,12,24296,6.7,24020,4.9,24645,11,25725,4.7,27766,5.9
ladu:Dudley,E08000027,21689,4.9,22510,6.8,22510,6.5,24938,3.9,26544,5.8,25567,4.1,26006,4.5
ladu:Sandwell,E08000028,20562,4.2,20254,7.4,21552,5.2,21336,5.8,22241,6.6,22853,7.5,23746,6.1
ladu:Solihull,E08000029,24882,14,24179,11,25599,7.3,27583,7.2,29170,13,30392,14,31534,7.2
ladu:Walsall,E08000030,19417,7.4,19941,6.3,20693,5.6,22021,6.7,23819,6.2,23009,6.2,23914,6.3
ladu:Wolverhampton,E08000031,20182,6,21179,7.3,21607,8.2,22174,5.4,22544,7,24283,5,26410,12
ladu:Bromsgrove,E07000234,24280,11,26170,12,25320,19,27103,11,26692,13,29424,9.3,28714,12
ladu:Malvern Hills,E07000235,19498,13,23500,11,22758,13,-,-,21617,16,26028,15,26626,12
ladu:Redditch,E07000236,-,-,20579,10,21161,7.4,21521,7.8,21907,8.2,24076,6.7,24307,5.9
ladu:Worcester,E07000237,22483,15,24325,8.9,23889,7.1,24542,6.7,23057,7,26283,6.7,27820,8.6
ladu:Wychavon,E07000238,22520,16,20561,10,22254,14,23868,9.1,24383,13,23139,7.4,-,-
ladu:Wyre Forest,E07000239,19695,15,20182,17,20235,8.8,21234,9.4,24369,15,24702,7.9,26221,9.7
ladu:Bedford,E06000055,24998,6,25539,9.1,24173,7.9,25640,8.1,28661,6.6,26609,5.6,29225,6.1
ladu:Central Bedfordshire,E06000056,26586,8.3,27002,6.1,27754,6,30012,5.2,30508,8.4,30231,4.8,33686,5.2
ladu:Luton,E06000032,21072,7.9,23332,9.6,21629,7.2,24522,10,24678,7.6,24367,11,25402,7
ladu:Peterborough,E06000031,21044,5.8,19999,6.4,21548,7.1,22846,5.5,23442,7.4,24572,4.8,24421,7.4
