Area,mnemonic,2016,Conf %,2017,Conf %,2018,Conf %,2019,Conf %,2020,Conf %,2021,Conf %,2022,Conf %
ualad19:Gedling,E07000173,22023,8.8,23371,8.2,23731,7.6,22608,9.1,23150,9.7,23215,9.4,24699,9.1
ualad19:Mansfield,E07000174,17749,8,18523,6.9,-,-,19610,6.9,22254,7.5,21802,7.2,24588,7.1
ualad19:Newark and Sherwood,E07000175,19946,7.3,19014,16,21073,14,22538,7.6,23231,11,23752,8.8,25031,10
ualad19:Rushcliffe,E07000176,27975,16,27503,10,27070,10,28970,8.7,28306,16,28780,16,29621,11
"ualad19:Herefordshire, County of",E06000019,19346,7.3,19582,8.1,20003,7.1,21677,7.9,22632,7.8,22094,14,23659,12
ualad19:Shropshire,E06000051,21363,8,22461,6.4,22534,7.1,23707,6,23045,6.4,23750,7.7,26221,8.2
ualad19:Stoke-on-Trent,E06000021,20020,5.6,21000,4.3,22027,6,22169,8.2,23499,6.9,22769,5.2,24439,13
ualad19:Telford and Wrekin,E06000020,20884,6.4,20687,4.6,20919,5.3,22531,8.4,23520,5.8,23355,5.6,26337,6.7
ualad19:Cannock Chase,E07000192,22829,6.7,23890,9.2,23860,7.1,23414,12,23872,11,25917,7.5,24736,10
ualad19:East Staffordshire,E07000193,19795,19,21311,7,21429,8.1,-,-,25866,7.2,23778,6.8,26521,7.9
ualad19:Lichfield,E07000194,-,-,25771,12,26039,17,27961,19,29670,12,28709,8.8,30556,9.8
ualad19:Newcastle-under-Lyme,E07000195,21474,6.7,20984,6.9,22656,6.7,21962,7,23998,7.7,24284,7.5,25167,8
ualad19:South Staffordshire,E07000196,24025,8.7,25063,13,25913,11,26210,8.2,29869,10,27787,9,28260,11
ualad19:Stafford,E07000197,22521,11,22700,9.4,24168,12,26696,8.5,26035,16,26249,12,29730,8.4
ualad19:Staffordshire Moorlands,E07000198,21738,8.4,21833,10,22139,12,24709,9.2,25443,-,25906,10,27177,11
ualad19:Tamworth,E07000199,21882,8.4,22561,6.6,22545,12,24472,7.8,23619,7.3,24125,14,26902,10
ualad19:North Warwickshire,E07000218,25003,9.2,26289,12,25654,11,26349,14,26918,12,27246,9.8,30998,12
ualad19:Nuneaton and Bedworth,E07000219,21888,13,23224,8.6,22725,9.4,22225,9.5,23790,8.7,25029,6.3,26045,16
ualad19:Rugby,E07000220,26106,6.9,27324,8.4,28086,20,25659,13,28278,8.5,28805,13,31514,8.1
ualad19:Stratford-on-Avon,E07000221,24144,9.1,25441,14,26453,11,25773,13,28081,15,27007,14,31528,9.6
ualad19:Warwick,E07000222,27820,6.8,28202,12,27725,16,27983,8.1,30454,12,30002,8.5,29940,9.3
ualad19:Birmingham,E08000025,21697,3.6,21924,3.9,22151,3.7,22584,4.7,23876,4.7,24282,4.3,25495,6.2
ualad19:Coventry,E08000026,22116,7.7,23021,12,24296,6.7,24020,4.9,24645,11,25725,4.7,27766,5.9
ualad19:Dudley,E08000027,21689,4.9,22510,6.8,22510,6.5,24938,3.9,26544,5.8,25567,4.1,26006,4.5
ualad19:Sandwell,E08000028,20562,4.2,20254,7.4,21552,5.2,21336,5.8,22241,6.6,22853,7.5,23746,6.1
ualad19:Solihull,E08000029,24882,14,24179,11,25599,7.3,27583,7.2,29170,13,30392,14,31534,7.2
ualad19:Walsall,E08000030,19417,7.4,19941,6.3,20693,5.6,22021,6.7,23819,6.2,23009,6.2,23914,6.3
ualad19:Wolverhampton,E08000031,20182,6,21179,7.3,21607,8.2,22174,5.4,22544,7,24283,5,26410,12
ualad19:Bromsgrove,E07000234,24280,11,26170,12,25320,19,27103,11,26692,13,29424,9.3,28714,12
ualad19:Malvern Hills,E07000235,19498,13,23500,11,22758,13,-,-,21617,16,26028,15,26626,12
ualad19:Redditch,E07000236,-,-,20579,10,21161,7.4,21521,7.8,21907,8.2,24076,6.7,24307,5.9
ualad19:Worcester,E07000237,22483,15,24325,8.9,23889,7.1,24542,6.7,23057,7,26283,6.7,27820,8.6
ualad19:Wychavon,E07000238,22520,16,20561,10,22254,14,23868,9.1,24383,13,23139,7.4,-,-
ualad19:Wyre Forest,E07000239,19695,15,20182,17,20235,8.8,21234,9.4,24369,15,24702,7.9,26221,9.7
ualad19:Bedford,E06000055,24998,6,25539,9.1,24173,7.9,25640,8.1,28661,6.6,26609,5.6,29225,6.1
ualad19:Central Bedfordshire,E06000056,26586,8.3,27002,6.1,27754,6,30012,5.2,30508,8.4,30231,4.8,33686,5.2
ualad19:Luton,E06000032,21072,7.9,23332,9.6,21629,7.2,24522,10,24678,7.6,24367,11,25402,7
ualad19:Peterborough,E06000031,21044,5.8,19999,6.4,21548,7.1,22846,5.5,23442,7.4,24572,4.8,24421,7.4
ualad19:Southend-on-Sea,E06000033,25124,15,23855,8,25597,9.8,27022,7.1,26814,15,27557,13,28717,8.4
ualad19:Thurrock,E06000034,24788,6.4,25366,8.2,24848,13,26931,11,28561,14,29390,7.7,30696,7.5
ualad19:Cambridge,E07000008,27157,18,28821,7.7,29529,6.9,28525,10,31657,7.4,31154,7.9,34165,9.1
ualad19:East Cambridgeshire,E07000009,24422,7.4,25211,9.3,24885,8.7,-,-,27240,8.1,27093,9.5,-,-
ualad19:Fenland,E07000010,21612,9.1,22244,8.9,21914,9.2,22511,8.3,24024,11,23509,13,26537,11
ualad19:Huntingdonshire,E07000011,25372,8.1,26819,5.4,27589,7.8,27771,5.5,28715,6.8,28246,6,29066,5.7
ualad19:South Cambridgeshire,E07000012,29374,7.2,26584,9.9,29794,8.9,32852,7.4,31561,8.3,33715,7.5,35367,7.1
ualad19:Basildon,E07000066,24047,6.9,24240,6.3,25454,9.2,27723,7.4,25457,13,27016,7.7,27926,13
ualad19:Braintree,E07000067,26207,9.5,25925,7.2,27414,8.7,27106,13,25902,7.9,26586,8.5,29336,9.1
ualad19:Brentwood,E07000068,31796,14,32852,20,-,-,32391,15,-,-,27310,14,34561,17
ualad19:Castle Point,E07000069,21114,11,-,-,24853,13,-,-,26288,14,-,-,27865,13
ualad19:Chelmsford,E07000070,24265,15,25725,6.3,25584,12,26399,7.9,28233,20,29487,8.5,30977,9.9
ualad19:Colchester,E07000071,22655,8.3,23103,8.8,23659,8.2,24448,16,25119,7.2,24295,7.7,28121,8.6
ualad19:Epping Forest,E07000072,26237,16,27300,9.6,27985,8.3,27296,17,28707,11,28709,11,31370,11
ualad19:Harlow,E07000073,22886,9.4,24206,7.8,24229,16,23508,8.6,24012,11,24865,8.9,26893,8.3
ualad19:Maldon,E07000074,29071,12,27173,9.6,25049,13,-,-,26247,16,27735,11,-,-
ualad19:Rochford,E07000075,25814,14,24708,17,25850,16,24828,17,26499,-,31803,14,32685,15
ualad19:Tendring,E07000076,20682,7.9,21391,11,21222,12,21626,9.3,-,-,25262,8.8,-,-
ualad19:Uttlesford,E07000077,28964,12,28339,14,30819,13,-,-,28995,12,26736,12,-,-
ualad19:Broxbourne,E07000095,27989,8.9,27723,9.1,28005,13,28710,14,29918,15,27194,11,32996,10
ualad19:Dacorum,E07000096,26335,9.8,27322,7.4,27006,11,28176,6.4,29998,7.9,27308,10,29431,9.3
ualad19:East Hertfordshire,E07000242,28874,8.4,28083,11,29992,8.8,32821,7.3,33055,10,30454,8.4,34659,12
ualad19:Hertsmere,E07000098,25355,10,24287,14,29652,11,29730,7.6,31635,9.3,26391,12,27837,9.6
ualad19:North Hertfordshire,E07000099,27802,9.2,30627,10,-,-,31323,8.5,33590,8.9,29444,16,35179,10
ualad19:St Albans,E07000240,33456,6,32774,12,34837,9.8,34084,11,-,-,37111,12,36416,17
ualad19:Stevenage,E07000243,23402,10,23490,9.8,-,-,25161,8.4,26133,12,23640,7.6,28393,9.4
ualad19:Three Rivers,E07000102,26383,11,27939,10,27997,10,27844,8.6,30489,13,29266,8.9,32665,9.4
ualad19:Watford,E07000103,28243,9.2,29884,9.4,27452,8,27975,8.4,29711,9.6,28835,14,29915,9
ualad19:Welwyn Hatfield,E07000241,25479,13,28652,10,26610,11,27476,12,28420,12,28000,7.4,-,-
ualad19:Breckland,E07000143,19128,13,19162,8.6,21787,-,22512,10,22877,12,24150,6.4,24659,8.8
ualad19:Broadland,E07000144,20401,8.6,21710,16,23593,8.8,22803,9.4,-,-,24778,8.2,27028,9.2
ualad19:Great Yarmouth,E07000145,18502,11,17414,10,-,-,19882,10,21414,20,22283,9.3,26164,9.3
ualad19:King's Lynn and West Norfolk,E07000146,20529,8.3,19437,8.1,20545,8.9,21978,5.5,22661,8.3,22628,7.6,24778,6.6
ualad19:North Norfolk,E07000147,17992,12,19434,11,19989,9.9,-,-,22017,9.5,22763,8.8,23864,12
ualad19:Norwich,E07000148,20286,14,-,-,21485,9.3,23215,5.8,23418,12,25175,6.1,25802,9.1
ualad19:South Norfolk,E07000149,22708,7.6,22169,8.5,24712,7.7,25178,6.3,24032,8.1,26577,7.6,26654,7.9
ualad19:Babergh,E07000200,22851,20,24921,11,25130,9.4,25429,9.8,24510,12,26685,9,26911,8.9
ualad19:Ipswich,E07000202,20876,12,20740,7.3,-,-,22125,6.7,22972,11,23771,8.6,24846,7.1
ualad19:East Suffolk,E07000244,-,-,-,-,22649,4.9,23277,11,-,-,-,-,-,-
ualad19:Mid Suffolk,E07000203,22456,13,22162,9,23208,7.5,24793,11,24254,15,25569,6.8,26183,7.5
ualad19:West Suffolk,E07000245,-,-,-,-,24585,5.8,24300,6.1,-,-,-,-,-,-
ualad19:Camden,E09000007,33082,16,32685,7.4,34492,11,35247,10,34466,14,35102,10,35575,8.1
ualad19:City of London,E09000001,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ualad19:Hackney,E09000012,28847,12,30016,6.5,29351,7.7,28790,6.4,31045,7.4,29775,7.1,-,-
ualad19:Hammersmith and Fulham,E09000013,34685,6.3,35995,7.1,35983,6.3,38799,7.5,37296,7.3,37618,7.4,37884,13
ualad19:Haringey,E09000014,26477,11,28698,7.6,28294,8.6,29165,5.9,30377,6.8,28742,8.4,-,-
ualad19:Islington,E09000019,31680,13,33219,7.8,37502,8.9,37634,14,38303,9.7,34832,9.7,38434,7.6
ualad19:Kensington and Chelsea,E09000020,-,-,-,-,37191,14,36277,15,-,-,39011,14,37578,15
ualad19:Lambeth,E09000022,29317,6.5,31186,6.2,33307,11,33084,6.3,36629,7.4,35484,6.4,37566,6.1
ualad19:Lewisham,E09000023,29202,11,28092,7.2,29997,4.5,28994,5.5,31595,8.1,29940,7.2,32579,11
ualad19:Newham,E09000025,22501,13,23429,10,24805,12,26107,5.4,28600,17,30473,6,29131,16
ualad19:Southwark,E09000028,30000,9,30483,5,32290,7.1,35056,5.7,34278,5.9,34193,5.6,34583,5.5
ualad19:Tower Hamlets,E09000030,30824,12,32554,6.1,32389,9.9,38000,7.4,35788,11,35949,6,36162,6.2
ualad19:Wandsworth,E09000032,36538,6.6,36590,8.6,38216,6.9,39086,8.1,41895,9.6,37929,5.5,42665,13
ualad19:Westminster,E09000033,35534,13,38089,20,41606,10,37450,19,40637,8.8,39635,8.2,39562,11
ualad19:Barking and Dagenham,E09000002,23601,7.6,24640,11,25470,14,25412,6.8,26394,12,26674,8.1,27963,7.6
ualad19:Barnet,E09000003,26000,11,28040,12,28740,6.6,29512,9.5,29239,6.3,30000,9.1,32507,11
ualad19:Bexley,E09000004,26754,9.7,27323,6,27561,13,30708,6.8,32767,13,29274,6.7,33829,8.8
ualad19:Brent,E09000005,24604,8.8,24645,8.3,25017,7.5,26325,10,28196,7.5,28367,7.1,30855,9.7
ualad19:Bromley,E09000006,31513,6.5,32827,6.3,33794,7.3,33546,15,35654,8.5,34020,9.3,37749,5.9
ualad19:Croydon,E09000008,27897,7.7,28163,7.4,29299,6.6,30093,6.5,29372,9.6,32065,6.7,34226,5.8
ualad19:Ealing,E09000009,27197,8.9,26847,10,27673,6.7,27892,4.8,31292,8,29676,5.6,30941,5.6
ualad19:Enfield,E09000010,25818,5.5,25270,6.3,26000,6.6,25951,9,26060,5.7,27519,6.3,29499,7.1
ualad19:Greenwich,E09000011,28860,5.7,28078,7.5,30923,8.4,31117,5.7,32186,10,31116,7.4,34509,6
ualad19:Harrow,E09000015,27487,14,27969,9.3,27736,9,29599,6,32449,9.9,30979,11,31935,8.2
ualad19:Havering,E09000016,28106,5.3,28826,6.5,27633,11,29154,4.7,31013,5.9,30587,5.4,31580,6.5
ualad19:Hillingdon,E09000017,27456,6.1,27085,5.3,26433,8.2,28305,6.8,29525,6.2,30815,7.4,34149,15
ualad19:Hounslow,E09000018,26797,6.7,26474,9.4,27564,7.2,29931,9.5,29279,8.7,26840,5.6,31104,18
ualad19:Kingston upon Thames,E09000021,31434,9.4,31839,9.5,32160,8.7,34142,9.5,36045,14,35130,8.6,37495,8.6
ualad19:Merton,E09000024,30725,14,30834,9.9,32299,7.1,32521,8.9,32196,9.3,29884,6.1,30117,7.3
ualad19:Redbridge,E09000026,28690,5.7,28999,8.1,29634,8.3,29375,6.8,30733,8.5,31407,16,31512,17
ualad19:Richmond upon Thames,E09000027,37704,11,36361,8.6,36098,11,37025,13,37023,13,36520,11,38012,10
ualad19:Sutton,E09000029,26679,8.3,27383,6.2,28617,16,29925,8.7,28387,9.2,29931,9.6,29836,12
ualad19:Waltham Forest,E09000031,26043,7.8,26343,9.6,28630,4.9,29300,6,32397,6.4,31996,5.5,34785,6.5
ualad19:Bracknell Forest,E06000036,27067,6.3,27610,11,27050,11,29393,13,28377,8.7,31911,10,33640,10
ualad19:Brighton and Hove,E06000043,23957,9.8,24187,6.7,24448,8,25791,5.3,27639,7.8,26289,7.9,27360,6
ualad19:Isle of Wight,E06000046,20053,9.1,20818,8.3,21565,8.5,21104,12,24852,11,21640,8,-,-
ualad19:Medway,E06000035,24559,9.1,24828,5.7,25857,6.6,26544,4.8,28253,7.2,26893,5.8,27597,8.8
ualad19:Milton Keynes,E06000042,25507,5,26529,7.4,26527,6.9,28728,4.8,28930,5.8,29713,4.9,-,-
ualad19:Portsmouth,E06000044,21877,6.4,21924,7.1,22126,8,23237,8.5,22900,10,24999,6.1,27515,13
ualad19:Reading,E06000038,25334,18,25420,14,27090,9.3,28041,5.9,28827,8.7,31183,11,30925,20
ualad19:Slough,E06000039,25124,13,25939,9.5,28078,6.6,28086,16,28009,8.7,29758,7.9,30694,8.7
ualad19:Southampton,E06000045,20908,6.3,22465,7.3,22039,6.3,24313,13,25384,5,26970,5.2,29496,4.8
ualad19:West Berkshire,E06000037,28347,11,27586,6.8,27628,8,29176,12,28098,7.7,31009,6.4,31106,-
ualad19:Windsor and Maidenhead,E06000040,32188,9.5,33896,14,33253,7.6,-,-,34622,12,32210,8.7,-,-
ualad19:Wokingham,E06000041,-,-,30990,8.6,33716,7.7,29771,11,30910,17,33925,13,38306,8.4
ualad19:Aylesbury Vale,E07000004,23904,12,26909,7.7,26890,6,26780,9.4,-,-,-,-,-,-
ualad19:Chiltern,E07000005,28086,17,29531,15,32759,11,30842,11,-,-,-,-,-,-
ualad19:South Bucks,E07000006,30135,13,-,-,29467,13,33753,14,-,-,-,-,-,-
ualad19:Wycombe,E07000007,26633,17,25206,8.8,27459,8,29407,6.8,-,-,-,-,-,-
ualad19:Eastbourne,E07000061,19557,10,20483,10,22840,11,23352,11,24153,14,23627,17,25129,9.7
ualad19:Hastings,E07000062,19304,7.7,19904,19,20121,7.3,20787,8.3,22025,9.7,22988,7.8,24596,9.4
ualad19:Lewes,E07000063,21156,17,22245,13,24050,19,25000,13,26250,9.1,27142,11,27451,12
ualad19:Rother,E07000064,19824,11,-,-,19868,13,22363,12,21797,13,22401,9.2,-,-
ualad19:Wealden,E07000065,23081,8.7,23157,11,-,-,23988,18,26103,15,24498,10,25509,17
ualad19:Basingstoke and Deane,E07000084,28822,7.1,28780,6.9,28000,9.1,30412,9.4,31857,8.6,32544,6.5,35488,5.6
ualad19:East Hampshire,E07000085,27328,9.5,28986,8.1,29632,14,28138,11,30079,18,29212,7.7,30316,8.5
ualad19:Eastleigh,E07000086,24486,7.4,23834,9.7,23308,9.5,24953,7.6,27361,8.1,28822,8.9,29970,7.1
ualad19:Fareham,E07000087,26837,7.1,27060,8.6,27033,8.8,28148,18,27785,18,-,-,30652,9.7
ualad19:Gosport,E07000088,21650,15,23982,9.8,22206,10,23800,10,25311,8.9,26464,9.2,26677,10
ualad19:Hart,E07000089,28214,14,28601,13,29749,11,-,-,31309,14,30943,12,35449,12
ualad19:Havant,E07000090,22949,11,24137,8.6,23892,13,24514,9.2,23494,11,24526,5.7,25216,20
ualad19:New Forest,E07000091,23081,10,23079,13,22486,8.2,24048,7.5,25713,11,23847,9.8,26093,7
ualad19:Rushmoor,E07000092,25170,7.2,25188,8.1,27419,8.3,27444,8,31741,10,27446,9.4,30480,10
ualad19:Test Valley,E07000093,25451,8.8,26535,9,25588,13,-,-,27974,7.6,28520,6.9,30015,9.3
ualad19:Winchester,E07000094,29740,12,30063,14,31590,16,28622,8.7,31001,13,31977,8.2,31824,6.3
ualad19:Ashford,E07000105,23758,14,25237,12,24119,9.4,25126,12,25377,9.4,24333,9.7,28980,8.6
ualad19:Canterbury,E07000106,22922,7.6,22851,12,22568,8,25040,15,25335,8.6,24727,17,26934,20
ualad19:Dartford,E07000107,27622,6.5,27011,12,28763,10,29473,-,31959,11,29056,9.2,32204,9.8
ualad19:Dover,E07000108,22412,18,22457,-,23593,8.8,27108,9.3,25548,14,25463,8.6,27816,8.8
ualad19:Gravesham,E07000109,23409,10,22467,10,23423,11,25639,17,26446,10,27368,14,29456,9.6
ualad19:Maidstone,E07000110,25011,7.2,24285,10,23973,9,26649,15,28293,15,28068,7,30071,8
ualad19:Sevenoaks,E07000111,25523,11,27247,11,26384,9.7,30163,11,-,-,-,-,25659,15
ualad19:Folkestone and Hythe,E07000112,21605,17,22991,9.6,22629,9.1,25967,12,24390,12,26078,10,29349,10
ualad19:Swale,E07000113,23539,11,25406,11,26609,9.2,25995,11,25411,14,26053,12,28711,8.2
ualad19:Thanet,E07000114,18476,15,18111,11,18880,20,21064,9.3,22603,8.5,22730,17,24660,8.3
ualad19:Tonbridge and Malling,E07000115,27160,9.6,-,-,27587,18,29633,11,29876,18,31218,7.7,32307,8.8
ualad19:Tunbridge Wells,E07000116,-,-,27624,7.9,29912,13,30453,15,30442,18,32352,11,30914,9.8
ualad19:Cherwell,E07000177,26425,9.5,26654,20,26462,11,26466,7.5,29303,8.9,29579,7.1,30490,8.5
ualad19:Oxford,E07000178,26834,6,28788,8.2,27060,10,25892,17,26261,9,29261,8.1,30575,8.7
ualad19:South Oxfordshire,E07000179,29892,8.1,29826,8.6,30672,9,32811,8.1,33619,8.7,31031,15,34159,8.5
ualad19:Vale of White Horse,E07000180,28877,11,29913,7.3,30398,20,30598,8,31502,11,32099,6.9,34587,6.8
ualad19:West Oxfordshire,E07000181,26542,11,23827,10,25488,14,26739,10,26365,20,27250,6.4,-,-
ualad19:Elmbridge,E07000207,32371,9.2,30000,14,34003,12,37217,9.4,30177,13,32836,11,32272,11
ualad19:Epsom and Ewell,E07000208,28340,8.7,32128,9.1,30696,10,-,-,27991,15,29545,11,-,-
ualad19:Guildford,E07000209,29110,10,31250,10,31319,9.2,34430,12,32832,14,32518,14,38040,8.6
ualad19:Mole Valley,E07000210,-,-,-,-,24362,12,26363,11,25377,12,28039,15,29130,19
ualad19:Reigate and Banstead,E07000211,27165,8.1,29333,9,32467,10,32276,7.4,32575,9.6,32291,9.5,35282,11
ualad19:Runnymede,E07000212,26096,15,27100,12,27207,12,-,-,-,-,33500,8.2,-,-
ualad19:Spelthorne,E07000213,30754,13,29218,9.6,28472,9.5,29145,8.7,29681,14,31440,14,-,-
ualad19:Surrey Heath,E07000214,31432,9.9,34496,17,34290,12,33961,9.6,35759,10,36930,9.4,-,-
ualad19:Tandridge,E07000215,25930,16,30351,10,30944,18,29014,11,-,-,30006,12,35165,11
ualad19:Waverley,E07000216,30704,16,30231,12,30785,14,31962,12,30402,13,30305,12,34836,13
ualad19:Woking,E07000217,28605,16,29966,9.7,28303,9.6,28751,-,31550,14,30188,12,33853,8.7
ualad19:Adur,E07000223,20611,10,20338,9.3,22605,9.1,22877,16,25157,14,-,-,25534,16
ualad19:Arun,E07000224,21339,7.2,21982,7.5,22258,7.1,21555,6.5,22364,7.7,22938,7.2,24235,16
ualad19:Chichester,E07000225,22871,14,22423,11,21515,11,24038,11,23368,10,24423,8,27543,-
ualad19:Crawley,E07000226,24400,10,24216,9.3,24098,8.6,23786,18,28455,6.1,26673,8,29950,8.9
ualad19:Horsham,E07000227,26415,17,23675,12,25662,8.9,26122,8.3,25846,20,25787,8.7,29515,9.1
ualad19:Mid Sussex,E07000228,24829,13,28355,7.8,30024,8.3,28205,11,27903,9.8,27428,15,30073,8
ualad19:Worthing,E07000229,21057,15,23015,7.7,23300,14,24175,8.5,26036,8.6,26673,7.2,27135,6
ualad19:Bath and North East Somerset,E06000022,23730,12,23076,8.5,23752,9.6,24256,14,24199,12,24204,8.9,27614,18
"ualad19:Bournemouth, Christchurch and Poole",E06000058,-,-,-,-,22739,7.9,25128,4.6,24987,5.8,24321,8.6,26714,7.8
"ualad19:Bristol, City of",E06000023,23692,4.2,23506,4.5,24145,6.7,25952,4.1,27504,4.8,26936,5,29923,7.7
ualad19:Cornwall,E06000052,19093,6.1,19920,4.5,20305,4.2,20338,6.6,20919,5.3,21339,6.8,24510,4
ualad19:Isles of Scilly,E06000053,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ualad19:North Somerset,E06000024,23997,7.6,22217,8,24333,8.3,24001,6.4,27931,10,24968,6.5,29026,7
ualad19:Plymouth,E06000026,20403,5.4,21703,6.8,22465,5.5,21612,5.7,22963,5.4,22064,4.6,23433,6.8
ualad19:South Gloucestershire,E06000025,23328,4.6,23205,7,23886,5.7,24777,8.4,26576,5.6,26020,5.6,28830,5
ualad19:Swindon,E06000030,24897,9.3,24677,5.5,25407,8.2,27234,5.9,27212,5.7,27247,5,28164,11
ualad19:Torbay,E06000027,18763,11,19574,6.1,19054,10,20602,6,21336,8.5,23293,6.1,22678,8.3
ualad19:Wiltshire,E06000054,21881,4,23173,5.3,23656,4.3,23069,5,24350,4.6,24855,4.4,28033,4.2
ualad19:East Devon,E07000040,22406,7.9,21793,8.5,21728,7.2,22284,11,-,-,23551,7.9,-,-
ualad19:Exeter,E07000041,21005,8.9,21049,7.4,21367,9,23369,7.2,22176,10,23340,13,25553,16
ualad19:Mid Devon,E07000042,21957,8.5,22007,11,22274,9.4,22001,9.1,21883,18,-,-,25048,11
ualad19:North Devon,E07000043,17565,10,17672,17,18984,7.5,19968,11,19954,7.9,21335,9.4,25035,9.1
ualad19:South Hams,E07000044,-,-,21666,11,20889,11,20110,11,21338,13,24066,12,26370,10
ualad19:Teignbridge,E07000045,19408,11,19275,12,20279,7.8,21243,13,20707,7.8,21499,13,23283,7.8
ualad19:Torridge,E07000046,19146,12,20740,11,20667,9.9,20942,11,22313,13,-,-,22300,11
ualad19:West Devon,E07000047,20230,11,20382,9.6,-,-,19919,13,21015,13,19539,15,21639,18
ualad19:Dorset,E06000059,-,-,-,-,21526,5.6,22832,9.3,24799,5.6,24579,4.5,26446,8.7
ualad19:Cheltenham,E07000078,24796,14,25779,7.2,25574,12,27443,17,28512,18,30445,8.9,34961,10
ualad19:Cotswold,E07000079,21399,11,-,-,22359,16,24853,12,26944,13,22067,13,26953,12
ualad19:Forest of Dean,E07000080,-,-,21489,16,22088,20,-,-,23649,14,23576,12,30120,17
ualad19:Gloucester,E07000081,21689,11,21242,6.7,22897,5.6,22760,7.5,23311,9,23649,6.6,25766,8.2
ualad19:Stroud,E07000082,23783,5.5,24321,6.6,24000,8,24401,6.3,-,-,25159,7.9,27606,9.2
ualad19:Tewkesbury,E07000083,23321,-,23186,12,-,-,24721,11,26585,12,28308,14,-,-
ualad19:Mendip,E07000187,21626,9,-,-,21006,9.8,22918,13,22164,11,22723,8,25979,10
ualad19:Sedgemoor,E07000188,19728,6.5,19759,16,20784,7.7,21523,11,21914,8.3,21790,8.2,23732,7
ualad19:South Somerset,E07000189,19812,4.8,21469,6.4,21342,6.7,22931,7.8,24028,7.8,23956,7.6,26657,7.7
ualad19:Somerset West and Taunton,E07000246,-,-,-,-,20012,8.2,21585,9.4,-,-,-,-,-,-
ualad19:Isle of Anglesey,W06000001,22098,8.4,23164,8.8,22862,9.3,22887,11,24071,10,26322,11,27191,13
ualad19:Gwynedd,W06000002,17201,7.7,18784,8.9,19084,-,20281,13,21525,12,19875,7.8,22554,9.9
ualad19:Conwy,W06000003,-,-,20242,9.7,20452,9,-,-,23165,14,22699,8.7,27249,8.5
ualad19:Denbighshire,W06000004,19738,9,20080,9.7,20367,15,20459,8.6,21009,8.8,22009,6.1,23514,7.5
ualad19:Flintshire,W06000005,22688,11,21524,8,21631,6.2,22783,5.9,23989,6.4,24829,8.5,27925,12
ualad19:Wrexham,W06000006,20753,9.2,21764,7.3,22848,8.6,23960,6.7,25280,8.1,23572,6.8,27678,15
ualad19:Powys,W06000023,19994,20,20458,15,20715,8.3,22493,7.6,22999,9.6,22283,6.2,25744,6.8
ualad19:Ceredigion,W06000008,20071,9.2,19124,11,20412,9.8,21538,9.5,22020,17,23401,10,25885,8.2
ualad19:Pembrokeshire,W06000009,18587,8.3,18741,10,19384,8,20583,7.1,22259,7.8,23757,8.1,25969,8.6
ualad19:Carmarthenshire,W06000010,20255,6.3,20559,7.8,21029,6,22543,4.9,23938,8.2,24454,5.4,26777,5.8
ualad19:Swansea,W06000011,20506,6,21150,5.7,22997,7.1,23026,5.5,23700,6,23485,6.2,25872,6.2
ualad19:Neath Port Talbot,W06000012,19909,9.2,20645,7.8,21916,7.5,23384,5.4,23836,8.2,24935,6.7,26468,8.2
ualad19:Bridgend,W06000013,21861,7.9,21889,11,23091,10,23497,7.1,24913,9.2,23836,7,26855,9.5
ualad19:Vale of Glamorgan,W06000014,24566,14,24537,11,22774,8.6,25174,9.5,24922,9.6,26121,7.3,26236,8.6
ualad19:Cardiff,W06000015,22784,8.9,23245,5.8,23414,7.3,24918,4,25028,5.3,24657,3.7,27649,5.2
ualad19:Rhondda Cynon Taff,W06000016,21452,5.6,21645,5.5,21711,6.9,22463,6.8,23651,5.9,23127,4.6,24485,6.1
ualad19:Merthyr Tydfil,W06000024,20348,7.6,21340,7.4,20782,7.4,23267,6.9,23410,8.2,24645,7.3,25009,9.2
ualad19:Caerphilly,W06000018,20816,4.4,21665,5.2,22580,5.3,22497,5.2,23303,7.1,24782,6.4,25719,5.7
ualad19:Blaenau Gwent,W06000019,-,-,21592,15,20690,9.9,19459,7.8,-,-,21794,10,25518,11
ualad19:Torfaen,W06000020,21758,7.5,22972,9.1,23542,7.8,23386,7.2,25659,7.1,23370,6.7,26295,8.7
ualad19:Monmouthshire,W06000021,26744,11,25663,15,26095,11,26071,14,26900,13,29914,10,28138,14
ualad19:Newport,W06000022,20644,8.6,21251,6.6,22165,6.9,23425,6.6,24797,7.4,24583,6.2,26400,6.5
ualad19:Aberdeen City,S12000033,24970,6.7,23761,5.1,24686,5.5,25917,5.2,24905,7.7,25278,4.6,27375,6.2
ualad19:Aberdeenshire,S12000034,22376,8.8,22412,11,23873,5.6,25147,6.3,25000,14,25128,6,27390,8
ualad19:Angus,S12000041,22125,8.1,21409,11,24009,8.7,23597,11,23618,11,23594,15,27001,7.8
ualad19:Argyll and Bute,S12000035,21915,20,20563,9.2,21044,9.5,20990,10,23082,10,23477,8.2,23856,9.8
ualad19:Clackmannanshire,S12000005,22594,17,23908,9.2,21078,9.2,-,-,26970,11,27020,10,29424,11
ualad19:Dumfries and Galloway,S12000006,19447,6.9,19101,6,20209,6,20590,5.7,22337,7.2,23030,7.3,23919,11
